Bajaj Housing,INE377Y01014,80771,96.98,13286,1880,16,9219,7840,14436,10608,486795,2365
SBC Export,INE04AK01028,1381,29.01,12926,1980,18,12488,13286,13275,9533,27836,1829
BOI,INE084A01016,68597,150.65,12587,2526,25,10023,7418,10070,10057,64542,2218
NHPC,INE848E01016,83896,83.52,12151,-9567,-44,17931,11119,11664,15746,85771,1793
RestaurantBrand,INE07T201019,3907,67.11,11975,7295,156,5373,9813,5117,2693,41137,253
Power Grid,INE752E01010,249721,268.5,11954,173,1,9439,9477,12321,12915,50261,427
IOC,INE242A01010,231306,163.8,11847,746,7,13705,13671,14413,13797,61492,1375
RBL Bank,INE976G01028,19623,320.1,11796,2586,28,7610,4983,9582,11034,105843,2063
Murae Organisor,INE060601031,53,.26,11564,621,6,12582,19684,32044,20151,187617,11
Vedanta,INE205A01025,243046,621.6,11357,2462,28,8814,15142,12047,10142,40072,953
Jio Financial,INE758E01017,189578,298.4,11333,3496,45,8340,7949,9094,18069,190880,3360
PNB,INE160A01022,144237,125.5,11258,-9218,-45,15039,15635,18150,21996,94593,5370
ONGC,INE213A01029,304317,241.9,11218,-11207,-50,11560,7834,8845,10867,53930,624
Spright Agro,INE179O01031,78,.73,11169,-2257,-17,12329,13114,29384,14303,160360,16
Mirc Elect,INE831A01028,983,35.02,11029,2472,29,4487,1727,869,1199,21893,7
Federal Bank,INE171A01029,63243,257.15,10950,4146,61,6096,8369,10229,8694,58219,2123
GAIL,INE129A01019,111448,169.5,10920,3043,39,8504,7325,9621,11920,62945,606
Hind Zinc,INE267A01025,271646,642.95,10863,4095,61,7845,14538,8566,5235,151817,597
REC,INE020B01018,100800,382.8,10752,-2868,-21,14158,7734,6990,7727,39636,1258
Hindalco Ind,INE038A01020,209235,942.5,10707,5249,96,5613,5554,6044,5530,35469,493
Bharat Elect,INE263A01024,301895,413,10675,-16854,-61,13401,13623,14210,21005,123764,3321
Inox Wind,INE066P01011,11296,123.05,10400,5518,113,8886,8136,8170,9126,72022,2337
SBI,INE062A01020,940367,1018.75,10272,-1562,-13,8254,7603,10229,11037,39047,2111
Rain Ind,INE855B01025,5160,153.4,10239,8018,361,4638,5167,2800,1686,41929,163
Zee Ent,INE256A01028,8786,91.43,10154,2458,32,8894,7210,7194,12226,174514,1827
Rajnish Well,INE685Z01033,72,.57,10154,7276,253,5032,9291,7174,6198,56814,459
Redington,INE891D01026,22327,285.6,10142,8620,567,3077,2020,5667,6338,117569,470
NTPC,INE733E01010,340208,350.85,10044,-8568,-46,14522,9297,8991,12528,198306,433
NBCC,INE095N01031,16004,118.55,9684,-3318,-26,9555,14282,12776,13242,85248,1916
BOB,INE028A01039,158022,305.2,9515,-8000,-46,11160,8388,9797,10385,55784,1219
Ashok Leyland,INE208A01029,109335,186.15,9367,-8856,-49,18956,17041,17625,11981,99630,1446
DCB Bank,INE503A01015,5752,182.5,9318,7169,334,2981,1717,4307,2263,53833,382
Tata Motors,INE1TAE01010,159315,432.65,9274,-7341,-44,12189,13142,17623,17623,166264,6268
UCO Bank,INE691A01018,37656,30.03,9175,-7706,-46,12296,7387,11091,11293,66268,2060
Bharti Airtel,INE397D01024,1222160,2107.1,9140,6439,238,4039,4603,7511,7227,107221,266
Indian Renew,INE202E01016,40312,143.5,9068,-4314,-32,13933,8979,8003,12501,124909,2129
LT Finance,INE498L01015,79833,319.35,9048,3926,77,6723,5959,7982,7012,76856,588
Bajaj Finance,INE296A01032,607744,977.85,8817,-2605,-23,8880,6168,7191,4950,25493,367
Indusind Bank,INE095A01012,71266,914.75,8559,5870,218,5062,3511,4031,7597,113873,373
IRB Infra,INE821I01022,25291,41.88,8484,3160,59,6636,7143,10580,13824,103398,1753
Infibeam Aven,INE483S01020,5754,16.49,8463,1777,27,8521,9414,12477,13348,99816,2116
Orient Technolo,INE0PPK01015,1983,433,8384,-19780,-70,31247,9029,3576,1282,57597,29
