79,Rubicon Researc,2025-10-09,485,666.25,1377.68,1892.54,37.4
80,LG Electronics,2025-10-07,1140,1493.6,11607.01,15207.22,31
81,Mittal Sections,2025-10-07,143,41,52.91,15.17,-71.3
82,Tata Capital,2025-10-06,326,361.6,15511.87,17205.81,10.9
83,NSB BPO Solutio,2025-10-03,147,93.45,77.91,49.53,-36.4
84,WeWork India,2025-10-03,648,610.4,3000,2825.93,-5.8
85,Advance Agro,2025-09-30,100,133,192.86,256.5,33
86,Sunsky Logistic,2025-09-30,46,69,16.84,25.25,49.9
87,Zelio E-Mobilit,2025-09-30,136,396.35,78.34,228.3,191.4
88,Greenleaf Envir,2025-09-30,136,170,21.9,27.37,25
89,Munish Forge,2025-09-30,96,103,73.92,79.31,7.3
90,Shlokka Dyes,2025-09-30,100,34.45,63.5,21.88,-65.5
91,Sheel Biotech,2025-09-30,63,70.5,34.02,38.07,11.9
92,Valplast Techno,2025-09-30,54,55,28.09,28.61,1.9
93,Infinity Infowa,2025-09-30,155,419,24.42,66,170.3
94,BAG Convergence,2025-09-30,87,120.25,48.72,67.34,38.2
95,Suba Hotels,2025-09-29,111,137.75,75.47,93.66,24.1
96,Om Metallogic,2025-09-29,86,26,22.35,6.76,-69.8
97,Om Freight Forw,2025-09-29,135,91.5,122.31,82.9,-32.2
98,Glottis,2025-09-29,129,60.6,307,144.22,-53
99,Dhillon Freight,2025-09-29,72,40,10.08,5.6,-44.4
100,Fabtech Techno,2025-09-29,191,197.65,230.35,238.37,3.5
101,Sodhani Capital,2025-09-29,51,84,10.71,17.64,64.7
102,VijayPD Ceutica,2025-09-29,35,42,19.25,23.1,20
103,Chiraharit,2025-09-29,21,8.69,31.07,12.86,-58.6
104,RukmaniDevi Gar,2025-09-26,99,78,23.52,18.53,-21.2
105,KVS Castings,2025-09-26,56,59,27.83,29.32,5.4
106,Manas Polymers,2025-09-26,81,84.3,23.52,24.48,4.1
107,Pace Digitek,2025-09-26,219,196.9,819.35,736.67,-10.1
108,MPK Steels,2025-09-26,79,140.1,25.74,45.64,77.3
109,Ameenji Rubber,2025-09-26,100,126,30,37.8,26
110,DSM Fresh Foods,2025-09-26,100,133,59.06,78.56,33
111,Gujarat Peanut,2025-09-25,80,90,23.81,26.78,12.5
112,Earkart,2025-09-25,135,168.95,49.26,61.65,25.2
113,Telge Projects,2025-09-25,105,104,27.24,26.98,-1
114,Jinkushal Indus,2025-09-25,121,89,116.15,85.44,-26.4
115,Bhavik Enterpri,2025-09-25,140,141,77,77.55,.7
116,Trualt Bioenerg,2025-09-25,496,400.7,839.28,678.02,-19.2
117,Chatterbox Tech,2025-09-25,115,73,42.86,27.21,-36.5
118,Praruh Technolo,2025-09-24,63,54.95,23.5,20.5,-12.8
119,Epack Prefab,2025-09-24,204,271.15,504,669.9,32.9
120,Justo Realfinte,2025-09-24,127,100,63,49.61,-21.3
121,Systematic Ind,2025-09-24,195,188,115.6,111.45,-3.6
122,Jain Resource,2025-09-24,232,403.85,1250,2175.92,74.1
123,Gurunanak Agri,2025-09-24,75,33,28.8,12.67,-56
124,BMW Ventures,2025-09-24,99,56.25,231.66,131.63,-43.2
125,True Colors,2025-09-23,191,200,127.96,133.99,4.7
126,Solarworld Ener,2025-09-23,351,275.6,490,384.74,-21.5
127,Anand Rathi Sha,2025-09-23,414,647.55,745.64,1166.28,56.4
