Apollo Hospital,INE437A01024,105808,7358,95192,69321,268,37834,38572,40229,49646,279031,6275
Poly Medi,INE205C01021,18000,1775.85,94453,80194,562,31178,17438,18780,23011,183661,4486
Canara Bank,INE476A01022,139552,153.85,94254,-1564,-2,149518,113372,118469,99989,305544,37237
Emmvee Photovol,INE1C6T01020,13854,200.1,93467,62679,204,38286,35907,68647,68647,374495,8369
Orient Technolo,INE0PPK01015,1983,433,93263,-207273,-69,326265,97082,43534,19798,630482,902
Shriram Finance,INE721A01047,188476,1002,92839,-201,0,120202,183743,152137,130563,563481,17507
Jio Financial,INE758E01017,189578,298.4,91927,13810,18,69667,76152,83239,133274,411649,43475
RBL Bank,INE976G01028,19623,320.1,91514,22995,34,54492,40552,53225,53840,371296,16998
Indusind Bank,INE095A01012,71266,914.75,91157,40405,80,70344,56761,68285,127894,1237770,12064
SAIL,INE114A01011,60450,146.35,90607,-15578,-15,110468,69444,68459,65723,335118,14125
Nava,INE725A01030,17303,611.15,90457,75091,489,25716,18784,15005,25175,305652,2309
Best Agrolife,INE052T01013,1021,432,89590,77799,660,22874,10102,8017,3780,116224,38
IOC,INE242A01010,231306,163.8,89090,2088,2,79744,81228,86162,87567,347167,21115
Entero Health,INE010601016,5195,1194.1,88084,74159,533,34508,14994,10139,10621,88084,941
L&T,INE018A01030,568563,4133.35,88065,-4621,-5,100414,100642,120212,126433,445397,26316
SJVN,INE002L01015,33136,84.32,87827,-260327,-75,147011,63554,39568,38382,348154,8751
Aether Indus,INE0BWX01014,13256,999.8,86966,62067,249,41861,20557,19512,11208,162693,1662
Max Financial,INE180A01020,60030,1739.5,86065,16530,24,53188,43296,39480,43276,147953,7956
Power Grid,INE752E01010,249721,268.5,85028,18123,27,66577,80956,89250,101228,249739,11493
Adani Power,INE814H01029,284642,147.6,84698,-10529,-11,127626,90824,140212,126055,993879,24192
Bharat Dyna,INE171Z01026,56529,1542.15,82567,-6207,-7,61820,57375,51071,83962,619737,11008
MCX,INE745G01043,57334,2248.4,82529,2495,3,83395,61789,66740,66895,253325,9430
HDFC Life Insur,INE795G01014,167356,776.2,82261,47198,135,45322,55370,68232,78488,350031,7086
BOB,INE028A01039,158022,305.2,82185,-36170,-31,82783,66399,72547,72506,281945,16172
Ashok Leyland,INE208A01029,109335,186.15,80595,-36930,-31,113717,105310,99259,79899,385069,20712
M&M,INE101A01026,422690,3784.7,79994,-23427,-23,108224,108347,120250,151569,427577,31443
IIFL Finance,INE530B01024,28302,666,79897,53778,206,43042,30888,33434,38559,213792,5161
Muthoot Fin,INE414G01012,157982,3935.1,79856,-3650,-4,57449,48702,49323,51614,307822,12989
NMDC,INE584A01023,73702,83.83,79771,4984,7,68373,68907,57123,62932,202848,21581
CG Power Indl,INE067A01029,100445,637.85,79352,16763,27,61582,48309,55236,74638,389423,15291
BPCL,INE029A01011,158513,371,79276,-5335,-6,95163,77854,84578,83926,198478,8023
HCL Tech,INE860A01027,439287,1618,78492,-39842,-34,72283,77903,85799,112431,618728,14386
Bajaj Auto,INE917I01010,269881,9664.15,77452,37549,94,52064,38469,40286,49925,126397,4631
Graphite India,INE371A01025,13103,671.95,76829,47319,160,93229,41423,35586,33680,440151,5763
GAIL,INE129A01019,111448,169.5,76791,14524,23,51994,57141,61024,79013,319310,11378
Cholaman Invest,INE121A01024,151515,1800,76152,41079,117,48296,64945,61305,72296,276896,7791
Tata Capital,INE976I01016,144876,361.6,75927,2074,3,89393,64398,89412,89412,1031447,18186
Sapphire Foods,INE806T01020,7324,227.9,74412,10114,16,62955,28692,21564,21972,289198,2282
Brainbees Solu,INE02RE01045,15271,292.6,73702,2535,4,42024,34365,25968,42422,493228,3076
Adani Port,INE742F01042,318244,1473.25,72750,39123,116,46064,53021,70335,86735,387991,19283
Arihant Cap,INE420B01036,988,94.92,72117,68687,2003,16650,7195,19840,9320,380851,881
HDFC Asst Mgnt,INE127D01025,111965,2616,71839,13917,24,41304,56949,48863,49234,168191,5759
