Fortis Health,INE061F01013,71378,945.45,3730,2333,167,1699,1699,1699,1699,54862,101
Orient Technolo,INE0PPK01015,1983,433,3664,-8691,-70,14031,14031,14031,14031,25706,12
HCL Tech,INE860A01027,439287,1618,3585,-1848,-34,2888,2888,2888,2888,29511,451
NTPC,INE733E01010,340208,350.85,3516,-3022,-46,5005,5005,5005,5005,64327,148
Titan,INE280A01028,365260,4104.05,3405,538,19,3322,3322,3322,3322,25186,663
Colgate Palmoli,INE259A01022,56954,2093.9,3392,1413,71,1793,1793,1793,1793,7160,183
Maruti Suzuki,INE585B01010,543819,17297.05,3381,-2014,-37,4787,4787,4787,4787,30916,521
Jio Financial,INE758E01017,189578,298.4,3373,1019,43,2488,2488,2488,2488,43031,1049
Cholaman Invest,INE121A01024,151515,1800,3340,2016,152,1981,1981,1981,1981,13419,240
HEG,INE545A01024,12305,637.55,3317,1807,120,5460,5460,5460,5460,29747,53
Garden Rea Ship,INE382Z01011,28716,2506.85,3231,-1122,-26,2605,2605,2605,2605,45588,413
Power Grid,INE752E01010,249721,268.5,3215,24,1,2539,2539,2539,2539,13856,123
Poly Medi,INE205C01021,18000,1775.85,3160,2979,1642,838,838,838,838,7274,46
Yes Bank,INE528G01027,71560,22.81,3160,-717,-19,2454,2454,2454,2454,42217,658
Coal India,INE522F01014,263087,426.9,3104,-6665,-68,6380,6380,6380,6380,15709,310
Policy Bazaar,INE417T01026,80010,1742,3056,1674,121,1770,1770,1770,1770,17090,127
Eicher Motors,INE066A01021,205971,7508.95,3050,-255,-8,2377,2377,2377,2377,14312,107
CSB Bank,INE679A01013,9265,533.9,3041,-5173,-63,2554,2554,2554,2554,8214,19
Indian Metals ,INE919H01018,6971,1291.85,2995,2727,1017,825,825,825,825,2995,16
Sun Pharma,INE044A01036,422313,1760.15,2963,276,10,2299,2299,2299,2299,16156,136
Redington,INE891D01026,22327,285.6,2930,2505,590,874,874,874,874,32563,127
LT Finance,INE498L01015,79833,319.35,2925,1289,79,2141,2141,2141,2141,22828,158
Polycab India,INE455K01017,117064,7776.8,2909,-5969,-67,3262,3262,3262,3262,29704,514
BOB,INE028A01039,158022,305.2,2908,-2488,-46,3389,3389,3389,3389,12835,330
Hero Motocorp,INE158A01026,120030,6000,2821,-1219,-30,3721,3721,3721,3721,44361,248
Federal Bank,INE171A01029,63243,257.15,2814,1025,57,1600,1600,1600,1600,13163,416
Ultratech,INE481G01011,358552,12167.5,2788,-1519,-35,2522,2522,2522,2522,20172,185
Canara Bank,INE476A01022,139552,153.85,2767,-560,-17,3923,3923,3923,3923,12804,787
ONGC,INE213A01029,304317,241.9,2701,-2671,-50,2772,2772,2772,2772,14278,155
Emmvee Photovol,INE1C6T01020,13854,200.1,2672,2392,852,772,772,772,772,8822,68
BPCL,INE029A01011,158513,371,2663,621,30,2760,2760,2760,2760,30046,148
Power Fin Corp,INE134E01011,124117,376.1,2663,-238,-8,3621,3621,3621,3621,17281,278
Lodha Developer,INE670K01029,110933,1111,2643,-723,-21,1718,1718,1718,1718,26848,89
Bajaj Finserv,INE918I01026,326926,2047,2629,1269,93,1857,1857,1857,1857,14147,571
IIFL Finance,INE530B01024,28302,666,2616,1885,258,1300,1300,1300,1300,5322,99
Rajoo Engg,INE535F01024,1392,77.93,2600,2054,376,655,655,655,655,2600,12
Asian Paints,INE021A01026,272725,2843.25,2597,102,4,2271,2271,2271,2271,18334,318
Indus Towers,INE121J01017,113979,432.05,2546,-320,-11,5435,5435,5435,5435,16528,441
Muthoot Fin,INE414G01012,157982,3935.1,2541,-799,-24,1946,1946,1946,1946,25863,360
Adani Port,INE742F01042,318244,1473.25,2519,1310,108,1653,1653,1653,1653,26648,649
Hindustan Aero,INE066F01020,301964,4515.15,2514,-3403,-58,3090,3090,3090,3090,41460,672
