ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE0SC101013,SUPERTECH EV LTD,Supertech EV,25-06-2025,27-06-2025,30-06-2025,01-07-2025,01-07-2025,02-07-2025,92,87,92,10,29.9,32.5,73.6,-20,02-07-2025,1200,4.4,BSE SME,BOOK BUILDING,FRESH,,HARYANA,YETENDER SHARMA,Electric 2-3 Wheeler,Corporate Makers,,,,,,,,,,,,,,,Asnani,,,,
INE756I01012,HDB FINANCIAL SERVICES LTD,HDB Financial,25-06-2025,27-06-2025,30-06-2025,01-07-2025,01-07-2025,02-07-2025,740,700,740,10,12500,1689.19,835,12.8,02-07-2025,20,17.6,BSE & NSE,BOOK BUILDING,BOTH,,,G. RAMESH,NBFC-Asst Fin-NDT ,UBS,Nuvama,Nomura,Motilal Oswal,Morgan Stanley,Jefferies,JM,IIFL,HSBC,Goldman Sachs,BOA,BNP,,,,,,,,
INE12NJ01018,SAMBHV STEEL TUBES LTD,Sambhv Steel,25-06-2025,27-06-2025,30-06-2025,01-07-2025,01-07-2025,02-06-2025,82,77,82,10,540.13,658.69,110.1,34.3,02-07-2025,182,21.6,BSE & NSE,BOOK BUILDING,BOTH,,CHHATTISGARH,VIKAS KUMAR GOYAL,Steel Tubes/Pipes,Nuvama,Motilal Oswal,,,,,,,,,,,,,,,,,,
INE05J901018,INDOGULF CROPSCIENCES LTD,Indogulf Crop,26-06-2025,30-06-2025,01-07-2025,02-07-2025,02-07-2025,03-07-2025,111,105,111,10,200.66,180.77,111,0,03-07-2025,135,27.2,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,SANJAY AGGARWAL,Fertilizers,Systematix,,,,,,,,,,,,,,,,,,,
INE130701019,VALENCIA INDIA LTD,Valencia India,26-06-2025,30-06-2025,01-07-2025,02-07-2025,02-07-2025,03-07-2025,110,95,110,10,48.95,44.5,88,-20,03-07-2025,1200,,BSE SME,BOOK BUILDING,BOTH,,GUJARAT,KAYUR J. PATEL,Clubs/Recreation,Inter Fin Serve,,,,,,,,,,,,,,,Aftertrade,,,,
INE0UZO01024,NEETU YOSHI LTD,Neetu Yoshi,27-06-2025,01-07-2025,02-07-2025,03-07-2025,03-07-2025,04-07-2025,75,71,75,5,77.04,102.72,105,40,04-07-2025,1600,,BSE SME,BOOK BUILDING,FRESH,,UTTARAKHAND,HIMANSHU LOHIA,Steel Castings/Found,Horizon,,,,,,,,,,,,,,,RK,NNM,Choice,,
INE0W1601012,ADCOUNTY MEDIA INDIA LTD,Adcounty Media,27-06-2025,01-07-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,85,80,85,10,50.69,59.63,130,52.9,04-07-2025,1600,,BSE SME,BOOK BUILDING,FRESH,,,ADITYA JANGID,Advertising/Mkting,Narnolia,,,,,,,,,,,,,,,Prabhat,,,,
INE0RDJ01019,VANDAN FOODS LTD,Vandan Foods,30-06-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,07-07-2025,115,,115,10,30.36,26.4,125,8.7,07-07-2025,1200,,BSE SME,FIXED PRICE,FRESH,,GUJARAT,JITENDRA R. PATEL,Castor/Derivatives,Nirbhay,,,,,,,,,,,,,,,Aftertrade,,,,
INE0TBQ01014,MARC LOIRE FASHIONS LTD,Marc Loire Fash,30-06-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,07-07-2025,100,,100,10,21,21,80,-20,07-07-2025,1200,,BSE SME,FIXED PRICE,FRESH,,DELHI,ARVIND KAMBOJ,Footwear,Finshore,,,,,,,,,,,,,,,JSK,,,,
INE0S4R01014,CRIZAC LTD,Crizac,02-07-2025,04-07-2025,07-07-2025,08-07-2025,08-07-2025,09-07-2025,245,233,245,2,860,351.02,280,14.3,09-07-2025,61,44.5,BSE & NSE,BOOK BUILDING,OFS,,WEST BENGAL,VIKASH AGARWAL,Soft-Customer Serv,Equirus,Anand Rathi,,,,,,,,,,,,,,,,,,
INE0TL001013,CRYOGENIC OGS LTD,Cryogenic OGS,03-07-2025,07-07-2025,08-07-2025,09-07-2025,09-07-2025,10-07-2025,47,44,47,10,17.77,37.8,89.3,90,10-07-2025,6000,467.7,BSE SME,BOOK BUILDING,FRESH,,GUJARAT,DHAIRYA PATEL,Capital Goods-Gen,Beeline,,,,,,,,,,,,,,,Spread X,,,,
INE162901016,META INFOTECH LTD,Meta Infotech,04-07-2025,08-07-2025,09-07-2025,10-07-2025,10-07-2025,11-07-2025,161,153,161,10,80.18,49.8,225,39.8,11-07-2025,800,156.1,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,VENU GOPAL PERURI,Security Product,Hem,,,,,,,,,,,,,,,Hem,,,,
INE0VWL01017,CHEMKART INDIA LTD,Chemkart India,07-07-2025,09-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,248,236,248,10,80.08,32.29,250,0.8,14-07-2025,1200,5.6,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,ANKIT MEHTA,Multi-Food Products,Smart Horizon Capital,,,,,,,,,,,,,,,Alacrity,,,,
INE103V01028,TRAVEL FOOD SERVICES LTD,Travel Food Ser,07-07-2025,09-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,1100,1045,1100,1,2000.42,181.86,1126.2,2.4,14-07-2025,13,3,BSE & NSE,BOOK BUILDING,BOTH,,,VARUN KAPUR,QSR/Food Chains,Kotak,ICICI,HSBC,Batlivala,,,,,,,,,,,,,,,,
INE0UMC01019,GLEN INDUSTRIES LTD,GLEN Industries,08-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,15-07-2025,97,92,97,10,63.02,64.97,157,61.9,15-07-2025,1200,243.6,BSE SME,BOOK BUILDING,FRESH,,WEST BENGAL,NIKHIL AGRAWAL,Plast Cont/Film/Sack,GYR,,,,,,,,,,,,,,,,,,,
INE0SJX01015,ASSTON PHARMACEUTICALS LTD,Asston Pharma,09-07-2025,11-07-2025,14-07-2025,15-07-2025,15-07-2025,16-07-2025,123,115,123,10,27.56,22.41,119,-3.3,16-07-2025,1000,174.4,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,ASHISH NARAYAN SAKALKAR,Pharma Integrated,Sobhagya,,,,,,,,,,,,,,,JSK,,,,
INE0NAZ01010,SMARTWORKS COWORKING SPACES LTD,Smartworks Cowo,10-07-2025,14-07-2025,15-07-2025,16-07-2025,16-07-2025,17-07-2025,407,387,407,10,582.93,143.23,436.1,7.1,17-07-2025,36,10.1,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,HARSH BINANI,Property Rental,Kotak,JM,IIFL,BOB,,,,,,,,,,,,,,,,
INE0CZ201020,ANTHEM BIOSCIENCES LTD,Anthem Bioscien,14-07-2025,16-07-2025,17-07-2025,18-07-2025,18-07-2025,21-07-2025,570,540,570,2,3395.79,595.75,723.1,26.9,21-07-2025,26,47.6,BSE & NSE,BOOK BUILDING,BOTH,,KARNATAKA,AJAY BHARDWAJ,CRAMS-Integrated,Nomura,JP Morgan,JM,Citigroup,,,,,,,,,,,,,,,,
INE0LCG01010,MONIKA ALCOBEV LTD,Monika Alcobev,16-07-2025,18-07-2025,21-07-2025,22-07-2025,22-07-2025,23-07-2025,286,271,286,10,165.63,57.91,288,0.7,23-07-2025,800,3.8,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,KUNAL BHIMJI PATEL,Import,Marwadi Chandarana,,,,,,,,,,,,,,,Bhansali,,,,
INE0PTF01017,SWASTIKA CASTAL LTD,Swastika Castal,21-07-2025,23-07-2025,24-07-2025,25-07-2025,25-07-2025,28-07-2025,65,,65,10,14.07,21.64,67,3.1,28-07-2025,2000,4.9,BSE SME,FIXED PRICE,FRESH,,WEST BENGAL,VARUN SHARDA,BRASS CASTINGS,Horizon,,,,,,,,,,,,,,,Horizon,,,,
INE0V0L01028,MONARCH SURVEYORS AND ENGINEERING CONSULTANTS LTD,Monarch Survey,22-07-2025,24-07-2025,25-07-2025,28-07-2025,28-07-2025,29-07-2025,250,237,250,10,93.75,37.5,421.25,68.5,29-07-2025,1200,169.6,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,DATTATRAYA MOHANIRAJ KARPE,Project Consultancy,Beeline,,,,,,,,,,,,,,,Spread X,,,,
INE06ST01018,INDIQUBE SPACES LTD,Indiqube Spaces,23-07-2025,25-07-2025,28-07-2025,29-07-2025,29-07-2025,30-07-2025,237,225,237,1,700.15,295.42,218.7,-7.7,30-07-2025,63,13.2,BSE & NSE,BOOK BUILDING,BOTH,,KARNATAKA,RISHI DAS,Property Rental,JM,ICICI,,,,,,,,,,,,,,,,,,
INE18JU01028,GNG ELECTRONICS LTD,GNG Electronics,23-07-2025,25-07-2025,28-07-2025,29-07-2025,29-07-2025,30-07-2025,237,225,237,2,460.43,194.28,350,47.7,30-07-2025,63,108.9,BSE & NSE,BOOK BUILDING,BOTH,,MAHARASHTRA,SHARAD KHANDELWAL,HW-Peripherals,Motilal Oswal,JM,IIFL,,,,,,,,,,,,,,,,,
