RIL,20402,21346,20850,20851,18608,20669,16485
Bharti Airtel,12222,12207,12180,12218,11035,11707,9342
TCS,11786,11637,11756,11725,10817,12384,14823
ICICI Bank,10079,9799,9589,9945,9739,10276,8910
SBI,9404,9280,8984,8967,7801,7245,6932
HDFC Bank,7393,7511,7610,7706,7467,15222,13051
Infosys ,6683,6663,6738,6713,6128,6810,8046
Bajaj Finance,6077,6082,6153,6516,6264,5744,4545
Hind Uni,5700,5607,5387,5497,5981,5499,5586
L&T,5686,5707,5583,5554,5139,4942,4954
