Waaree Energies,INE377N01017,2634.2,3079.15,9,-14.5,-1.6
Zelio E-Mobilit,INE1B3501014,396.35,456.35,8,-13.1,-1.6
K K Silk Mills,INE0EOJ01014,18.7,22.93,5,-18.4,-3.7
Logiciel Soluti,INE1BA901016,64.81,73.4,6,-11.7,-2
Shipwaves Onlin,INE0O9L01010,5.01,10.83,13,-53.7,-4.1
Neptune Logitek,INE1NQ501012,54.43,91.05,10,-40.2,-4
Bharat Rasayan,INE838B01021,2148.4,2328,9,-7.7,-.9
Mittal Life,INE997Y01027,1.07,1.22,9,-12.3,-1.4
Polysil Irr Sys,INE517M01028,256.75,306.35,5,-16.2,-3.2
Ganga Bath Fit,INE0ZI101018,20.2,21,6,-3.8,-.6
Womancart,INE0Q9601016,259.65,275,5,-5.6,-1.1
Vardhman Acry,INE116G01013,37.75,40.16,5,-6,-1.2
