ANS Ind,INE234J01018,18.53,17.25,14.16,13.96,13.25,39.9
GRM Overseas,INE192H01012,170,166.08,160.13,151.8,115.99,46.6
Cybele Ind,INE183D01010,38.9,37.7,34.14,30.05,26.97,44.2
Shukra Bullions,INE561E01015,44.04,43.41,31.73,27.23,26.54,65.9
Bampsl Sec,INE802A01037,21.5,21.23,21.15,20.64,18.34,17.2
Mayur Leather,INE799E01011,26.88,24.45,20.83,18.63,17.94,49.8
Unjha Form,INE576D01015,25.39,25.33,24.94,24.84,24.6,3.2
Indus Fin,INE935D01013,52.69,50.34,49.39,48.61,44.6,18.1
Shree Metalloys,INE914B01012,58,56.93,42.2,39.25,39.15,48.2
Hind Aluminium,INE227B01019,147.5,130.85,82.57,70.64,68.74,114.6
Gravity ,INE995A01013,11.52,11.14,11.04,8.14,6.19,86.1
Trustedge Cap,INE398H01015,120.4,119.84,104.09,95.36,81.24,48.2
Brijlaxmi Leas,INE957E01031,14.75,14.23,14.12,10.87,9.68,52.4
BOB,INE028A01039,305.2,302.72,291.63,284.88,246.56,23.8
BOI,INE084A01016,150.65,148.16,142.57,141.07,119.09,26.5
City Union,INE491A01021,293.8,290.36,281.44,261.64,206.34,42.4
CMX Holdings,INE027F01014,67,62.47,55.98,46.43,26.9,149.1
South Ind Bank,INE683A01023,42.12,39.33,39.1,38.26,30.13,39.8
Glenmark Phar,INE935A01035,2079.5,2050.53,1998.03,1921.18,1735.93,19.8
TVS Motor,INE494B01023,3868.05,3828.67,3680.85,3584.77,2985.43,29.6
Union Bank,INE692A01016,165.65,158.44,153.19,150.26,134.99,22.7
Granules ,INE101D01020,611.5,610.1,589.74,570.24,519.98,17.6
Jindal Stainles,INE220G01021,858.9,854.26,806.41,779.27,692.98,23.9
BOM,INE457A01014,64.43,63.6,58.79,58.63,53.79,19.8
Strides Pharma,INE939A01011,984.55,929.38,907.2,893.69,789.85,24.7
IIFL Finance,INE530B01024,666,636.12,589.71,554.14,445.72,49.4
Prime Focus,INE367G01038,244.25,236.29,221.58,190.1,143.41,70.3
SMS Pharm,INE812G01025,341.9,325.73,316.98,301.08,250.01,36.8
Take Sol,INE142I01023,40.83,40.34,37.09,29.75,14.89,174.2
eClerx Services,INE738I01010,4809.9,4770.18,4621.59,4532.04,3660.28,31.4
Bajaj Auto,INE917I01010,9664.15,9509.94,9142.54,9040.33,8556.89,12.9
ZF Com Veh Cont,INE342J01019,15273,14979.17,14816.29,13717.92,12933.61,18.1
Thangamayil ,INE085J01014,3481.75,3290.1,3267.66,2928,2181.06,59.6
Coromandel Engg,INE312J01012,103.8,100.7,86.89,70.79,63,64.8
Shah Metacorp,INE482J01021,5.3,5.09,4.75,4.41,3.78,40.2
Coal India,INE522F01014,426.9,416.35,395.15,387.23,386.36,10.5
Kirloskar Oil ,INE146L01010,1246,1242.35,1218.37,1093.56,894.87,39.2
LT Finance,INE498L01015,319.35,318.56,306.39,292.87,210.01,52.1
Onelife Cap,INE912L01015,16.6,16.49,16.27,14.39,13.17,26
CDG Petchem,INE198N01017,156.7,145.78,103.26,70.18,56.37,178
