1,INE001B01026,,,,,,,,,
2,INE001E01012,,,,,,Y,Y,,
3,INE001F01019,,,,,,,,,
4,INE001O01029,,,,,,,,,
5,INE002A01018,,,,,,,,,
6,INE002B01016,,,,,,Y,,,
7,INE002E01010,,,,,,Y,,,
8,INE002L01015,,,,,,Y,Y,,
9,INE002S01010,N,,,,N,,,,
10,INE003A01024,,,,,,Y,,,
11,INE003B01014,,,,,,Y,,,
12,INE003F01015,,,,N,,,,,
13,INE004A01022,,,,,N,,,,
14,INE004C01028,,,,,N,,,,
15,INE005B01027,,,,,,,,,
16,INE005C01017,,,,,,Y,Y,,
17,INE005E01013,,,,,,,,,
18,INE005G01026,,,,,,Y,,,
19,INE005I01014,,,,,,,,,
20,INE006C01015,,,,,,,,,
21,INE006F01018,,,,N,,,,,
22,INE006I01046,,,,,,Y,Y,,
23,INE006Z01016,,,,,,,,,
24,INE007A01025,,,,,,Y,Y,,
25,INE007B01023,,,,,,,,,
26,INE007C01021,,,,,N,,,,
27,INE007N01010,Y,Y,,,Y,Y,Y,Y,Y
28,INE008A01015,,,,,Y,Y,Y,Y,Y
29,INE008B01013,,,,,,,,,
30,INE008C01011,,,,,N,,,,
31,INE008Z01020,,,,,,,,,
32,INE009A01021,,,,,,,,,
33,INE009C01019,,,,,N,,,,
34,INE00C401011,,,,,,,,,
35,INE00CA01015,,,,,,,,,
36,INE00CE01017,,,,,,Y,,,
37,INE00CX01017,Y,,,Y,,Y,Y,Y,
38,INE00E101023,,,,N,,,,,
39,INE00EM01016,,,,,,,,,
40,INE00ER01015,N,N,,,N,,,,
41,INE00EV01017,,,,Y,,Y,Y,,
42,INE00F201020,,,,,,,,,
43,INE00FF01025,,,,,,Y,Y,,
44,INE00FM01013,,,,,,,,,
45,INE00GK01023,,,,,,,,,
46,INE00H001014,,,,,,,,,
47,INE00HZ01011,,,,,,Y,,,
48,INE00IK01029,,,,,,,,,
49,INE00IN01015,,,,,N,,,,
50,INE00IY01012,,,,,N,,,,
51,INE00KV01022,,,,,,,,,
52,INE00LM01029,,,,,,,,,
53,INE00LO01017,Y,Y,,,Y,Y,Y,Y,Y
54,INE00M201021,,,,,,,,,
55,INE00M901018,,,,,,,,,
56,INE00MT01022,,,,,N,,,,
57,INE00NH01017,,,,,,Y,Y,,
58,INE00OQ01016,,,,,,,,,
59,INE00PV01013,,,,,,Y,,,
60,INE00Q601028,,,,,,Y,Y,,
61,INE00Q901014,,,,,N,,,,
62,INE00QT01015,,,,,,,,,
63,INE00R701025,,,,,,,,,
64,INE00RL01028,,,,,,Y,,,
65,INE00S901012,,,,,,,,,
66,INE00ST01011,,,,,N,,,,
67,INE00SW01015,,,,,,,,,
