Sea TV ,INE351L01016,4.94,5.94,1,9.4,2600,-52.9,4.99,4.23,4.69,5.3,6.13,-19.4,9.9,3.8
Manaksia,INE015D01022,69.16,453.23,39,9.3,678972,787,73.45,64,64.36,7.5,69.59,-.6,93.95,54.59
Nandani Creat,INE696V01013,38.24,225.93,19,9.3,297980,-53.5,39.88,35.07,32.71,16.9,40.36,-5.3,59,26
Kamdhenu Ventur,INE0BTI01037,6.77,212.82,18,9.2,2756439,444.6,7.18,6.04,7.27,-6.9,10.16,-33.4,19.21,5.95
Golkonda Alum,INE327C01023,8.39,4.42,0,9.1,83959,159.4,8.4,7.83,8.41,-.2,10.52,-20.2,14.49,6.83
Kriti Ind,INE479D01038,88,463.72,38,9,53885,167,90,79.69,98.23,-10.4,125,-29.6,179,72.42
Bonlon Ind,INE0B9A01018,66.4,94.18,8,9,439675,74.8,66.4,61,46.98,41.3,38.02,74.6,66.4,22.5
Prime Property,INE233C01023,29,49.22,4,8.9,2228,607.3,31.89,29,28.32,2.4,34.6,-16.2,47,24.06
Infobeans Tech,INE344S01016,941.9,2283.16,186,8.9,1104946,183.5,960.85,859.25,641.4,46.9,469.56,100.6,960.85,269.95
Daulat Sec,INE108C01019,34.25,17.13,1,8.8,5496,109.7,34.8,31.85,33.72,1.6,38.78,-11.7,51.19,30
Suryaamba Spg,INE360J01011,131,38.41,3,8.8,329,-.9,131.85,120.4,126.85,3.3,144.21,-9.2,199.8,114.1
Dar Credit Cap,INE04Q901010,51.15,73.02,6,8.8,32000,-30.4,51.9,48.5,51.44,-.6,53.99,-5.3,66,44
Alliance Int,INE123D01024,1.88,74.25,6,8.7,1627494,520.5,2.07,1.71,1.83,2.7,3.32,-43.4,9.16,1.64
Best Agrolife,INE052T01013,432,1021.25,82,8.7,4975747,1470,451.9,401.5,352.47,22.6,369.05,17.1,620.1,244.55
Gujarat Natural,INE207H01018,106.69,1369.93,109,8.6,679827,72.1,108.02,100.4,89.34,19.4,58.29,83,108.02,16.42
Viram Suvarn,INE607V01028,8.69,65.73,5,8.6,412783,410.3,8.77,8.13,8.12,7,8.8,-1.3,11.2,7.56
Unisem Agritech,INE1FHV01026,59.9,67.88,5,8.6,12000,20,59.9,54.25,59.1,1.4,59.1,1.4,67.91,53.11
Bright Bro,INE630D01010,279.7,158.88,12,8.5,3880,76.4,279.75,253.55,291.97,-4.2,327.16,-14.5,495,250
Swojas Foods,INE295B01016,10.59,32.79,3,8.5,62524,12.9,10.59,9.59,13.08,-19,15.31,-30.8,26.18,9.5
Focus Lighting,INE593W01028,79.81,532.41,42,8.5,196261,701.4,81,73,78.77,1.3,92.54,-13.8,134.8,63.78
Faalcon Concept,INE0Q9W01015,44.5,30.39,2,8.5,20000,42.9,44.5,40.54,44.74,-.5,48.24,-7.8,62.22,37.6
Olympic Cards,INE550L01013,3.25,5.3,0,8.4,3030,271.8,3.29,3,2.97,9.4,3.15,3.2,4.27,2.51
Shree Pacetroni,INE847D01010,171.35,61.68,5,8.2,19609,-53.6,171.35,145.3,240.42,-28.7,138.48,23.7,283.15,61.11
Emmvee Photovol,INE1C6T01020,200.1,13853.82,1045,8.2,13345413,776.6,203.3,192.5,203.12,-1.5,203.12,-1.5,248.35,171.5
Newtime Infra,INE997D01021,2.28,39.89,3,8.1,396158,-23.5,2.3,2.1,2.33,-2.1,3.18,-28.3,8.8,1.71
Eighty Jewel,INE0KSN01014,32.97,33.63,3,8.1,3000,0,32.97,32.97,33.87,-2.7,36.76,-10.3,52,24.1
Sharp ,INE207B01011,41.24,106.99,8,8,481,-70.1,41.24,38.32,46.48,-11.3,55.74,-26,104,38.11
Orient Technolo,INE0PPK01015,433,1983.4,147,8,8383896,-70.2,445,428.65,361.53,19.8,337.72,28.2,613,267.5
NPR Finance,INE446D01011,30.31,18.18,1,8,1244,32.8,32.9,27.55,31.23,-2.9,27.27,11.1,40.5,20
Promact Impex,INE818D01011,10.46,6.81,0,7.8,192,-34.5,10.49,9.85,10.86,-3.7,11.06,-5.4,14.83,8.08
GNA Axles,INE934S01014,371,1592.73,115,7.8,2148934,110.6,379,344.15,312.85,18.6,323.2,14.8,424.55,269.8
