Bonlon Ind,INE0B9A01018,66.4,66.4,22.5,43.9,195.1
Eicher Motors,INE066A01021,7508.95,7569,4644.1,2924.9,63
Laurus,INE947Q01028,1114.6,1129.25,504.3,624.95,123.9
Anupam Rasayan,INE930P01018,1350.2,1374.2,600.95,773.25,128.7
Craftsman Auto,INE00LO01017,8025,8068.75,3700,4368.75,118.1
AADI Industries,INE563D01013,12.91,13.43,4.49,8.94,199.1
HiKlass Trading,INE302R01024,24.6,24.67,6.81,17.86,262.3
SBC Export,INE04AK01028,29.01,29.33,10.98,18.35,167.1
Mother Sumi Wir,INE0FS801015,51.17,53.55,30.71,22.84,74.4
Aether Indus,INE0BWX01014,999.8,1021.1,723.15,297.95,41.2
Gujarat Inje(K),INE659F01014,38.56,38.85,17.02,21.83,128.3
Tata Steel,INE081A01020,186.2,187.9,122.6,65.3,53.3
TMB,INE668A01016,556.55,571,403.35,167.65,41.6
Arfin India,INE784R01023,74.99,77.68,23.06,54.62,236.9
Hardwyn India,INE626Z01029,19.22,20.44,10.84,9.6,88.6
GDL Leasi & Fin,INE545E01018,150.9,150.9,8.74,142.16,1626.5
Fedbank Fin,INE007N01010,162.8,167,80.72,86.28,106.9
Nestle,INE239A01024,1320,1322.7,1057.5,265.2,25.1
Rashi Periphera,INE0J1F01024,398.25,408.9,245,163.9,66.9
Soma Papers,INE737E01011,210.15,210.15,43.89,166.26,378.8
Emcure Pharma,INE168P01015,1526.6,1544.55,890,654.55,73.5
Sai Life Scienc,INE570L01029,973.65,980,635.3,344.7,54.3
Parmeshwar Meta,INE0QQJ01021,164.35,164.35,47.84,116.51,243.5
Swan Defence,INE542F01020,1772.3,1772.3,35.99,1736.31,4824.4
Covance Softsol,INE0R8101016,111.61,111.61,2.06,109.55,5318
RDB Infra Power,INE245L01028,69.42,70.4,35,35.4,101.1
Parmeshwari Sil,INE808R01012,81.92,81.92,15,66.92,446.1
ACS Technolog,INE366C01021,44.03,44.03,3.28,40.75,1242.4
Shantai Ind,INE408F01024,19.96,19.96,9.5,10.46,110.1
Mrugesh Trad,INE738D01029,6.06,6.06,.48,5.58,1162.5
Borana Weaves,INE16SF01016,307.45,323.6,210.4,113.2,53.8
Covidh Tech,INE899M01020,18.36,18.36,1.5,16.86,1124
Filtron Engg,INE589N01017,99.3,99.3,7,92.3,1318.6
Shreeji Ship,INE1B6101010,388.2,389.35,221.55,167.8,75.7
Bluegod Ent,INE924N01024,5.1,5.1,.56,4.54,810.7
JD Cables,INE14VP01014,236.85,239.75,130,109.75,84.4
RM Drip & Sprin,INE219Y01026,87.6,87.69,62.55,25.14,40.2
Aptus Pharma,INE15XJ01010,198,198,80.8,117.2,145
Piramal Finance,INE202B01038,1811.55,1825,849.9,975.1,114.7
Seshachal Tech,INE331F01028,54.79,54.79,15,39.79,265.3
Ranjit Sec,INE863D01017,18.49,18.49,6.24,12.25,196.3
Nephrocare Heal,INE428V01029,492.1,512.45,445,67.45,15.2
ICICI Pru Asset,INE346A01027,2694.5,2703,2528.9,174.1,6.9
Simandhar Impex,INE0VI201010,39.74,39.74,21.5,18.24,84.8
KSH Internation,INE987S01020,377.8,402.3,333.85,68.45,20.5
Accent Microcel,INE0Q5D01013,370.25,375.8,180,195.8,108.8
Ascom Leasing,INE08KD01015,134.5,134.8,76.55,58.25,76.1
CPS Shapers,INE0QBU01012,1306.2,1306.45,412,894.45,217.1
Clear Secured,INE1EF801010,135.25,141,96.75,44.25,45.7
Divine Hira Jew,INE0NA501011,247.75,247.75,43,204.75,476.2
Exim Routes,INE19I001020,213.15,213.15,104.5,108.65,104
Kandarp Digi,INE0MOT01016,151.15,152.25,46.15,106.1,229.9
