37,1,Mining-Non Precious,5,328066,2550,.8,139331,1,7011,2.2,45670,16.2,65194,24.8,76973,30.7,86727,35.9,I32300T32390,32320
38,1,Coal Raw,3,320508,265.75,.1,112613,1,21173,7.1,36539,12.9,26255,8.9,38052,13.5,45632,16.6,I32100T32190,32110
39,1,Mall/Supermkt,10,320423,-1004,-.3,98200,1,-7741,-2.4,-20197,-5.9,-53613,-14.3,-37366,-10.4,-5402,-1.7,I42200T43010,42210
40,3,O&G Explo-Offshore,1,304317,4906,1.6,125105,3,8932,3,691.91,.2,-5095,-1.6,-4277,-1.4,-15600,-4.9,I32200T32290,32270
41,5,Aircraft/Helicopter,3,303637,-697.71,-.2,86451,5,12467,4.3,4667,1.6,-22168,-6.8,-32668,-9.7,27352,9.9,I24000T24190,24010
42,3,Power-Solar,4,256598,-4016,-1.5,76629,5,1625,.6,3709,1.5,-2953,-1.1,-1495,-.6,-14382,-5.3,I52100T52390,52170
43,3,Pharma Integrated,16,255606,4552,1.8,142480,3,7033,2.8,5429,2.2,20811,8.9,9516,3.9,-16257,-6,I21500T21592,21512
44,1,Elect Engg-Divers,7,244424,1601,.7,103558,1,4073,1.7,-1786,-.7,-18759,-7.1,-14073,-5.4,-23038,-8.6,I24500T24590,24590
45,3,NBFC-Housing,15,230286,-573.5,-.2,83155,4,5985,2.7,5464,2.4,-12389,-5.1,-22804,-9,-17121,-6.9,I72000T72190,72120
46,4,Power Cables/Conduct,16,224819,-5.13,0,101400,4,6001,2.7,9025,4.2,3485,1.6,17437,8.4,-1443,-.6,I52100T52390,52310
47,5,Power Gen-Divers,4,222860,-1183,-.5,113521,3,11250,5.3,6658,3.1,-255.52,-.1,-19553,-8.1,-180.27,-.1,I52100T52390,52190
48,1,Liquor/Breweries,16,221090,-396.07,-.2,94920,1,-8226,-3.6,-10501,-4.5,-1478,-.7,1189,.5,-20000,-8.3,I11200T12390,12240
49,2,Auto Ancill-Diverse,8,219225,-1909,-.9,104149,2,1863,.9,1028,.5,14459,7.1,17807,8.8,20678,10.4,I24200T24290,24290
50,1,Engine/Pump/Compres,19,215472,-6047,-2.7,101614,1,-6410,-2.9,-7341,-3.3,-1914,-.9,6232,3,11598,5.7,I24700T24890,24770
51,4,NBFC-General,98,210032,-1540,-.7,108782,3,4409,2.1,-2683,-1.3,-6873,-3.2,-19034,-8.3,2329,1.1,I72000T72190,72100
52,2,Hotels,52,209686,-4110,-1.9,111327,2,-1994,-.9,-1954,-.9,-8259,-3.8,-2554,-1.2,-10495,-4.8,I61100T61490,61310
53,2,Indust Chem-Divers,28,208483,-3540,-1.7,104883,2,-3397,-1.6,3315,1.6,-4465,-2.1,-23241,-10,15732,8.2,I21100T21490,21490
54,3,Fertilizers,33,201174,-982.39,-.5,65882,5,-1809,-.9,4428,2.3,-9686,-4.6,-5884,-2.8,14519,7.8,I21100T21490,21230
55,1,Branded Tex Retail,15,198568,-14459,-6.8,114386,1,-6920,-3.4,-7322,-3.6,-34817,-14.9,-65666,-24.9,-126739,-39,I26100T26790,26715
56,4,Agro Chem Pesticide,25,198134,-668.49,-.3,97558,3,2687,1.4,1389,.7,-1742,-.9,-21458,-9.8,11504,6.2,I21100T21490,21110
57,1,Air-Passenger,2,197811,-3626,-1.8,115899,1,-388.83,-.2,-14241,-6.7,-26544,-11.8,-29961,-13.2,28843,17.1,I54000T54500,54110
58,4,Personal Care/Cosmet,12,197768,-624.78,-.3,74945,3,5750,3,992.67,.5,-4290,-2.1,-6959,-3.4,-21203,-9.7,I22100T22190,22120
59,2,Viscos Fibre/Yarn,1,194760,864.3,.4,110799,2,1361,.7,7714,4.1,3866,2,3770,2,30093,18.3,I26100T26790,26530
60,2,Insurance-General,3,190861,478.7,.3,63926,2,422.29,.2,-103.91,-.1,-3329,-1.7,-7510,-3.8,-7034,-3.6,I72200T72290,72200
61,5,NBFC-Gold Loan,3,190118,462.65,.2,61348,5,6281,3.4,8904,4.9,30172,18.9,55329,41,83320,78,I72000T72190,72181
62,4,CRAMS-API,5,190043,7705,4.2,90282,4,5620,3,5157,2.8,20809,12.3,-11089,-5.5,17954,10.4,I21500T21592,21503
