14,,14,ITC,428991,-9082,-2.1,85.8,2346,-72845,-14.5,-78106,-15.4,-72711,-14.5,-87279,-16.9,-124471,-22.5,342.45,349.7,-7.25,-2.1,350.05,350.85,337.9,342.45,76438,26188,703024,INE154A01025,I22100T22190,22130,Tobacco Products,1,4184.01,ITC-BAT,1,ITC LTD,500875,ITC,1,28.3,38.8,15.85,17.44,21.6,19.6,0,0,0
15,,15,Kotak Bank,426883,-9307,-2.1,316406,11,-1591,-0.4,-1680,-0.4,1243,0.3,3909,0.9,73147,20.7,2146.65,2193.45,-46.8,-2.1,2212.95,2227.5,2135.2,2146.65,5395,11703,213588,INE237A01028,I71000T71310,71110,Bank-Private-Listed,3,1058,KOTAK-UDAY,1,KOTAK MAHINDRA BANK LTD,500247,KOTAKBANK,1,11.7,15.6,92.65,92.65,23.2,23.2,50,0.1,3.53
16,,16,M&M,422690,-1061,-0.3,344746,9,13536,3.3,7749,1.9,36046,9.3,69493,19.7,50091,13.4,3784.7,3794.2,-9.5,-0.3,3780.2,3818.3,3757,3784.7,1330,5022,79994,INE101A01026,I24000T24190,24120,Auto 4 wheeler,1,219,MAHINDRA,1,MAHINDRA & MAHINDRA LTD,500520,M&M,1,16.5,14.9,113.85,174.42,33.2,21.7,1265,1.7,1.46
17,,17,Sun Pharma,422313,7198,1.7,192237,17,9441,2.3,-10761,-2.5,25481,6.4,19830,4.9,-20826,-4.7,1760.15,1730.15,30,1.7,1725,1762,1725,1760.15,1694,2963,66435,INE044A01036,I21500T21592,21530,Formulations,1,1461.1,SUN-SHANGHVI,1,SUN PHARMACEUTICAL INDUSTRIES LTD,524715,SUNPHARMA,1,15.5,20.3,46.69,57.62,37.7,30.6,1600,0.9,0.02
18,,18,Axis Bank,400290,1303,0.3,367626,8,13668,3.5,2343,0.6,24269,6.5,35979,9.9,71121,21.6,1290.05,1285.85,4.2,0.3,1300,1303.95,1285.8,1293.6,6985,9041,211194,INE238A01034,I71000T71310,71110,Bank-Private-Listed,4,1460,UTI,1,AXIS BANK LTD,532215,AXISBANK,1,13.8,8.5,83.55,83.55,15.4,15.4,50,0.1,7.02
19,,19,Titan,365260,2216,0.6,172038,19,12291,3.5,25788,7.6,60974,20,37175,11.3,56453,18.3,4104.05,4079.15,24.9,0.6,4088.65,4118,4071.25,4111.1,830,3405,56833,INE280A01028,I31300T31390,31321,Jewellery-Retail,1,395,TATA,2,TITAN COMPANY LTD,500114,TITAN,1,35.5,30.3,46.38,54.89,88.5,74.8,1100,0.3,0.8
20,,20,JSW Steel,359458,-2272,-0.6,198277,16,20405,6,3447,1,5765,1.6,41816,13.2,84805,30.9,1178.55,1186,-7.45,-0.6,1186.3,1197.5,1169.75,1176.75,1441,1705,52426,INE019A01038,I31000T31190,31150,Steel-Integrated,1,172.32,JSW-SAJJAN,1,JSW STEEL LTD,500228,JSWSTEEL,1,8.2,10.1,21.38,53.67,55.1,22,280,0.2,1.16
21,,21,Ultratech,358552,2657,0.7,146182,23,13806,4,16523,4.8,2639,0.7,-9623,-2.6,26417,8,12167.5,12077.35,90.15,0.7,12119.65,12225.8,12076.5,12200.3,229,2788,43279,INE481G01011,I50000T50021,50010,Cement,1,64.231,ADITYA BIRLA,1,ULTRATECH CEMENT LTD,532538,ULTRACEMCO,1,10.5,12.2,252.53,416.18,48.2,29.2,775,0.6,0.32
22,,22,NTPC,340208,339.39,0.1,166362,20,24969,7.9,26957,8.6,11491,3.5,14884,4.6,22690,7.1,350.85,350.5,0.35,0.1,349.5,353.65,346.15,350.85,10044,3516,107029,INE733E01010,I52100T52390,52120,Power-Thermal,1,1.2,POWER & NON-CONVENTIONAL ENERGY MINISTRY,1,NTPC LTD,532555,NTPC,1,9,8.9,17.03,40.54,20.6,8.7,85.5,2.4,1.29
23,,23,Bajaj Finserv,326926,1238,0.4,134661,26,303.45,0.1,-7315,-2.2,1980,0.6,8716,2.7,58206,21.7,2047,2039.25,7.75,0.4,2030.65,2081.5,2030.65,2044.2,1278,2629,70779,INE918I01026,I92010T92013,92011,Holding Venture-Fin,1,48.1,BAJAJ-RAHUL,2,BAJAJ FINSERV LTD,532978,BAJAJFINSV,1,12.7,25.2,57.7,64.36,35.5,31.8,100,0.1,2.66
24,,24,Adani Ent,325888,-2965,-0.9,84829,51,6305,2,-908.93,-0.3,29051,9.8,25918,8.6,43949,15.6,2258.8,2279.35,-20.55,-0.9,2280.7,2290.15,2248.65,2258.8,720,1631,32278,INE423A01024,I92010T92013,92011,Holding Venture-Fin,2,477,ADANI-GAUTAM,1,ADANI ENTERPRISES LTD,512599,ADANIENT,1,0,8.9,-1.58,31.62,-1429.6,71.4,130,0.1,1.48
25,,25,Adani Port,318244,-4288,-1.3,108553,35,2625,0.8,-7571,-2.3,15510,5.1,10423,3.4,67073,26.7,1473.25,1493.1,-19.85,-1.3,1487.55,1494,1471.05,1473.25,1704,2519,72750,INE742F01042,I51000T51910,51430,Const-Port/Terminal,1,477,ADANI-GAUTAM,2,ADANI PORT AND SPECIAL ECONOMIC ZONE LTD,532921,ADANIPORTS,1,19.5,16.3,56.42,77.74,26.1,19,350,0.5,0.68
26,,26,ONGC,304317,4906,1.6,125105,28,8932,3,691.91,0.2,-5095,-1.6,-4277,-1.4,-15600,-4.9,241.9,238,3.9,1.6,238,242.45,237.85,241.9,11218,2701,146608,INE213A01029,I32200T32290,32270,O&G Explo-Offshore,1,1.19,PETROLEUM & NATURAL GAS MINISTRY,1,OIL & NATURAL GAS CORPORATION LTD,500312,ONGC,1,10.6,14.7,28.86,57.58,8.4,4.2,245,5.1,0.42
