37,37,WHOLESALE TRADING,204,171087,-653.39,-.4,90868,36,1795,1.1,4965,3,-6404,-3.6,19940,13.2,24446,16.7,I42100T42112
38,38,MISCEL. SERVICES,52,168248,-1483,-.9,108560,35,1541,.9,-1539,-.9,-971.55,-.6,20085,13.6,17354,11.5,I63000T64990
39,39,INDUSTRIAL SERVICES,72,143557,-1013,-.7,76779,39,1339,.9,4133,3,-8028,-5.3,-6813,-4.5,-13414,-8.5,I62200T62390
40,40,CONSUMER ACCESSORIES,33,97827,-866.3,-.9,37345,43,-109.63,-.1,726.76,.7,-8497,-8,-4310,-4.2,-18267,-15.7,I22200T22290
41,41,MINERALS,32,97617,-299.17,-.3,40634,40,151.12,.2,5478,5.9,7295,8.1,8212,9.2,17127,21.3,I32500T32790
42,42,BUILDING PRODUCTS,60,91283,-30.87,0,37832,42,1032,1.1,368.41,.4,-2165,-2.3,8025,9.6,3376,3.8,I50030T50140
43,43,INDUSTRIAL ENGG,14,79853,-450.91,-.6,25032,44,3359,4.4,2747,3.6,-156.54,-.2,-14879,-15.7,13575,20.5,I24900T25090
44,44,ENTERTAINMENT,46,60989,-415.5,-.7,39448,41,1338,2.2,1938,3.3,-3249,-5.1,238.77,.4,1176,2,I82100T82190
45,45,DIVERSIFIED COS,25,59171,-557.22,-.9,20951,46,30.71,.1,-615.23,-1,-3506,-5.6,-5812,-8.9,-2813,-4.5,I91010T91030
46,46,INDUSTRIAL GOODS,18,57359,90.35,.2,24473,45,226.8,.4,870.64,1.5,-1292,-2.2,-5219,-8.3,-14084,-19.7,I25300T25390
47,47,CONSUMER-INDUSTRIAL,8,45647,-1633,-3.5,11703,50,-7.64,0,975.58,2.2,7574,19.9,8185,21.8,5787,14.5,I23000T23090
48,48,CONSUMER GOODS,15,45265,364.31,.8,14881,49,2607,6.1,525.03,1.2,-688.01,-1.5,-3365,-6.9,1991,4.6,I22000T22090
49,49,PAPER,48,42625,-302.22,-.7,19208,47,237.28,.6,-1877,-4.2,-2373,-5.3,-13128,-23.5,-9056,-17.5,I23100T23190
50,50,PACKAGING,84,38880,-185.77,-.5,17145,48,543.76,1.4,659.23,1.7,-2783,-6.7,-5168,-11.7,-5223,-11.8,I25100T25190
51,51,EXIM TRADING,50,24721,-270.91,-1.1,6371,52,-51.17,-.2,1876,8.2,-1621,-6.2,-613.3,-2.4,-9618,-28,I41100T41610
52,52,PRINTING/STATIONERY,10,22030,-223.5,-1,6329,53,684.46,3.2,397.29,1.8,524.58,2.4,853.8,4,-827.65,-3.6,I23400T23510
53,53,MISCEL. COS,40,14020,-113.08,-.8,8166,51,-156.84,-1.1,-305.36,-2.1,-819.58,-5.5,1878,15.5,422.21,3.1,I99000T99020
54,54,AGRO PLANTATION,40,10148,-36.16,-.4,4136,54,2.84,0,24.09,.2,-889.3,-8.1,-1628,-13.8,-1140,-10.1,I11100T11190
55,55,AGRO NON-FOOD,4,9547,-145.51,-1.5,2790,55,646.09,7.3,62.37,.7,-1687,-15,3500,57.9,186.53,2,I12400T12490
56,56,GEMS/DIAMONDS,11,1538,-45.43,-2.9,492.47,56,19.45,1.3,-63.85,-4,-234.01,-13.2,-290.37,-15.9,-331.87,-17.7,I32400T32490
57,57,PHOTOGRAPHY,3,299.86,3.68,1.2,107.21,57,.49,.2,-13.59,-4.3,-23.86,-7.4,-27.6,-8.4,-126.76,-29.7,I23200T23290
